"Author, Last","Author, First",Title,Publisher,Date ,Size,Information; Notes ; Condition,Edition/Printrun,ISBN,"Author, Editor",Contributors,Signed/Inscribed,Designer,Summary,W3  Artist,W3 Publisher,Collection Grouping,"Subject classification, tags",Classification,BISAC classification,Dewey Decimal Classification (DDC),Location,Accession No,Price,Image
Abenavoli,Valentina,Anaesthesia,,2016,Height: 23.0 cm | Width: 25.0 cm,212 pages,2 copies?,978-6000021801,,,,,"curated and edited by Valentina Abenavoli, signed, edition of 500 copies. With a text by Veronique Pin Fat. Rather than a traditional photo book, Valentina Abenavoli’s “anaesthesia” is a care- and thoughtful recontextualisation of images of war and terror. Words from writers such as T.S. Eliot, Rousseau, Zizek and screenshots from war footage and execution videos are edited and arranged to form an engaging narrative. “Anaesthesia is a lament of several voices, a symphony of the evil in us, cinematically edited screenshots from videos, an engagement with the media, an open criticism to war and terrorism, a declaration of neutrality, an act of rebellion to the ego, where one stands alone prevented to feel anything else beyond his own finitude. Nothing would be more painful than not suffering anymore, dropping the burden of sensations, withdrawing from living and bonding. In the lyricism of the agony of mind, in the longing for a break in the inner solitude, what is more ambiguous than the desire to feel others? When confronted with others, personal pleasure as much as personal pain become absolute and universal. What remains is the love for horror and the horror of love.”",,https://akinabooks.com/,,,,,,,,,
Abercrombie,Gertrude,Gertrude Abercrombie,"Karma, New York",2018,8 x 2 x 9.5 inches,"Hardcover, 488 pages, 4.4 pounds, new.",,978-1949172027,,"Robert Storr (Author), Susan Weininger (Author), Robert Cozzolino (Author), Dinah Livingston (Author), Studs Terkel (Author), Dan Nadel (Editor), Gertrude Abercrombie (Artist)",,,"This is the most comprehensive book ever published on the Chicago surrealist Gertrude Abercrombie (1909–77), a key figure in midcentury American surrealism. From the late 1930s until her death, Abercrombie made paintings populated by objects of personal significance―moons, towers, cats, pennants, Victorian furniture, shells, snails and doors―to create allegories for her own often precarious psychological states. Often presiding over these symbols was Abercrombie herself, who appears in numerous pictures as proud observer or witchy caricature. Abercrombie exhibited in Chicago and New York in the 1940s and ‘50s, and her salon became a center of Midwestern culture, hosting jazz musicians (such as her close friend Dizzy Gillespie), writers and artists. This book includes new scholarship by Robert Cozzolino; a memoir of Abercrombie by Robert Storr; the artist's own writing; a definitive text by art historian Susan Weininger; and a memoir by the artist's daughter, Dinah Livingston.",,,Art,paintings,Individual Artist Monographs,,,Clipper,,$500.00,/assets/images/covers/9781949172027.jpg
Ackerman,Rita,Rita Ackermann & Andro Wekua: Chapter 4,"Fergus McCaffrey, Case Publishing",2021,390 × 300 mm,"Softcover, red mylar, perfect binding, offset printed, color, 76 pages, Chapter 4” is published in conjunction with an exhibition of the same title at Fergus McCaffrey Tokyo (May 1 – July 3, 2021)",1000,978-4908526428,,Essay by Gianni Jetzer,,,"It was in 2002 that Swiss-based Georgian artist Andro Wekua and New York-based Hungarian artist Rita Ackermann were introduced and began a fruitful creative collaboration with each other. Their remote communication, fuelled by mutual experiences of pictures, music, poetry and plain talk, resulted in the publication of zine-like art books – first self-published (“Chapter 1”), then published by Swiss publisher Nieves (“Chapter 2” and “Chapter 3”). This “Chapter 4”, published by Fergus McCaffrey and Tokyo-based Case Publishing, continues serving as a platform to showcase Ackermann’s and Wekua’s mutual artistic fruits. The large-format book includes paintings, drawings and collages of the two artists, created between 2008 and 2021. “Ackermann and Wekua are part of a lineage that includes their fellow ‘Easterners’ Georg Baselitz and Sigmar Polke, in that they borrow widely from folk and fairy tales, invoke high and low culture, and navigate a path between state-mandated realism and the perceived allure of American gestural abstraction. Further, it is impossible not to reference two earlier displaced Europeans: Willem de Kooning and Mark Rothko, who seem to provide material and spiritual nutrition in finding a path between figuration, landscape, and pure abstraction. Wekua begins with collages of animals, palm trees, inwardly consumed adolescents, and abandoned domestic spaces that become gradually obliterated and transformed under layers of bright pinks, purples, acid yellows, turquoises, and magentas that evoke the color palette of Rothko. His vibrant hues contain all of the elder artist’s contradictions in the apparent elation and the tugging sense of desperation. It is a personal art drawn from a specific place and time, but which has universal resonance despite or because of its stubborn evasiveness. Though Wekua’s scale of works and methods are significantly different, both feel psychically fraught and born of struggle. Scraped down and distressed in the making, Wekua’s means are very evident to behold; loaded with materials and meaning. Portraiture and self-portraiture are amongst Wekua’s most pressing concerns, and a sense of unease and discomfort is evoked that whispers of alienation and longing. (…) Ackermann shares the same layering, coding, and disclosure of source imagery, which often appears distracting and at odds with itself, perhaps reflecting a layer of self-defense against prying eyes and pervasive surveillance. ” The book also includes an essay by curator Gianni Jetzer. All texts are included in English and Japanese translation",NA,https://case-publishing.jp,Art,"Fashion, Artists' Books, New York City, Berlin, Drawing, Painting, covid, colab, art",Artist Book,,,Clipper,,$75.00,
Ackerman,Rita,Sketchbook II (A Midsummer Night's Dream),American Art Catalogues,2021,11 × 9 1/2 inches,"Hardcover – Illustrated, 84 pages. Hardcover, Printed by Pureprint, London, U.K.",500,,,,,,"Sketchbook II (A Midsummer Night’s Dream), was inspired by Max Reinhardt’s film, A Midsummer Night’s Dream from 1935. For a brief moment there were vehement ideas to re-stage the iconic masterpiece during the summer of 2020. As the first pages could almost be read as direct references to the film or notes for future productions, this tangible approach quickly evaporates from the following pages and the illustrative elements gradually fade into free assocaitions to just about anything, anytime, anywhere, under the title “A Midsummer Night’s Dream”.",NA,https://americanartcatalogues.com/,Art,Art,Artist Book,,,Clipper,,$55.00,
Ackerman,Rita,Sketchbook V (Twitchy),American Art Catalogues,2022,11 × 9 1/2 inches,"Hardcover, 84 pages, First printing",500,,,,,,"Sketchbook V (Twitchy), the fifth and final installment of Ackermann's sketchbook series. Long time collaborator and friend of Ackermann's Harmony Korine created a foundation of drawings for Ackermann to rework within the pages of this sketchbook. The cover bears Twitchy, a character created by Korine.",,,,Art,,,,,,,
Ackerman,Rita,Rita Ackermann,Skira Rizzoli,2011,9.35 x 1.15 x 11.33 inches,"Hardcover – Illustrated, 224 pages (1 of 2 copies)",,978-0847836642,"by Rita Ackermann (Author), Bonnie Clearwater (Author), Harmony Korine (Author), Felix Ensslin (Author), John Kelsey (Author)",,,,"A native of Hungary, Rita Ackermann moved to New York City in the mid-1990s. She arrived to find a culture (and art world) in transition: rave and zine culture was in full swing; collaborations between artists, musicians, and magazine and book publishers were pervasive; and the dawning of the Internet age was upon us. Within a few short months after settling in New York, the artist received widespread attention for her work, particularly a group of canvases populated with figures inspired by the cult German film We Children from Bahnhof Zoo about the heroin subculture of the 1970s. Her work forged a new visual language: paintings, drawings, and collages which telescoped between a virtuoso—and sometimes brutalistic—expressionism and taut, precise figurative drawing. Ackermann’s work explores the paradoxical relationship between fragility and violence, as she derives inspiration from literature, film, philosophy, and popular culture.",NA,https://americanartcatalogues.com/,Art,,Individual Artist Monographs,,,Clipper,,$40.00,/assets/images/covers/9780847836642.jpg
Ackerman,Rita,Rita Ackermann,Skira Rizzoli,2011,9.35 x 1.15 x 11.33 inches,"Hardcover – Illustrated, 224 pages (2 of 2 copies)",,978-0847836642,"by Rita Ackermann (Author), Bonnie Clearwater (Author), Harmony Korine (Author), Felix Ensslin (Author), John Kelsey (Author)",,,,"A native of Hungary, Rita Ackermann moved to New York City in the mid-1990s. She arrived to find a culture (and art world) in transition: rave and zine culture was in full swing; collaborations between artists, musicians, and magazine and book publishers were pervasive; and the dawning of the Internet age was upon us. Within a few short months after settling in New York, the artist received widespread attention for her work, particularly a group of canvases populated with figures inspired by the cult German film We Children from Bahnhof Zoo about the heroin subculture of the 1970s. Her work forged a new visual language: paintings, drawings, and collages which telescoped between a virtuoso—and sometimes brutalistic—expressionism and taut, precise figurative drawing. Ackermann’s work explores the paradoxical relationship between fragility and violence, as she derives inspiration from literature, film, philosophy, and popular culture.",NA,https://americanartcatalogues.com/,Art,,Individual Artist Monographs,,,Clipper,,$40.00,/assets/images/covers/9780847836642.jpg
Adams,Robert,Gone?,Steidl Photography International; First edition,2010,,Hardcover,,978-3865219176,,,,,,,https://steidl.de,Photography,Photography,,,,"Hudson Street Library, NYC",,,/assets/images/covers/9783865219176.jpg
Aëgerter,Laurence,Photographic Treatment Book 1,dewi lewis publishing,2016,297mm x 210mm,"Hardback, 64 pages, 5 volumes, Winner 2018 Rencontres d'Arles Author Book Award",,978-1911306269,,,,,"Photographic Treatment © consists of a series of five books, Daily Photo Dose 1, 2, 3, 4 and 5, each with thirty black and white photographic diptychs collected and edited by Laurence Aëgerter.",https://laurenceaegerter.com/,https://www.dewilewis.com,Photography,"neurology, psychology",Photography Artist Book,,,"Hudson Street Library, NYC",,$10.00,/assets/images/covers/9781911306269.jpg
Aëgerter,Laurence,Photographic Treatment Book 2,dewi lewis publishing,2016,297mm x 210mm,"Hardback, 64 pages, 5 volumes. Winner 2018 Rencontres d'Arles Author Book Award",,978-1911306276,,,,,"Photographic Treatment © consists of a series of five books, Daily Photo Dose 1, 2, 3, 4 and 5, each with thirty black and white photographic diptychs collected and edited by Laurence Aëgerter.",https://laurenceaegerter.com/,https://www.dewilewis.com,Photography,"neurology, psychology",Photography Artist Book,,,"Hudson Street Library, NYC",,$10.00,/assets/images/covers/9781911306276.jpg
Aëgerter,Laurence,Photographic Treatment Book 3,dewi lewis publishing,2016,297mm x 210mm,"Hardback, 64 pages, 5 volumes. Winner 2018 Rencontres d'Arles Author Book Award",,978-1911306283,,,,,"Photographic Treatment © consists of a series of five books, Daily Photo Dose 1, 2, 3, 4 and 5, each with thirty black and white photographic diptychs collected and edited by Laurence Aëgerter.",https://laurenceaegerter.com/,https://www.dewilewis.com,Photography,"neurology, psychology",Photography Artist Book,,,"Hudson Street Library, NYC",,$10.00,/assets/images/covers/9781911306283.jpg
Aëgerter,Laurence,Photographic Treatment Book 4,dewi lewis publishing,2016,297mm x 210mm,"Hardback, 64 pages, 5 volumes",,978-1911306290,,,,,"Photographic Treatment © consists of a series of five books, Daily Photo Dose 1, 2, 3, 4 and 5, each with thirty black and white photographic diptychs collected and edited by Laurence Aëgerter.",https://laurenceaegerter.com/,https://www.dewilewis.com,Photography,"neurology, psychology",Photography Artist Book,,,"Hudson Street Library, NYC",,$10.00,/assets/images/covers/9781911306290.jpg
Aëgerter,Laurence,Photographic Treatment Book 5,dewi lewis publishing,2016,297mm x 210mm,"Hardback, 64 pages, 5 volumes. Winner 2018 Rencontres d'Arles Author Book Award",,978-1911306306,,,,,"Photographic Treatment © consists of a series of five books, Daily Photo Dose 1, 2, 3, 4 and 5, each with thirty black and white photographic diptychs collected and edited by Laurence Aëgerter.",https://laurenceaegerter.com/,https://www.dewilewis.com,Photography,"neurology, psychology",Photography Artist Book,,,"Hudson Street Library, NYC",,$10.00,/assets/images/covers/9781911306306.jpg
Ahlbom,Grace,Dreaming is Heavy Metal,Soft Opening,2018,9.5 x 11.5 Inches,"Softcover, square Backed, 32 Pages, 4 Color",1st Edition of 300 Copies,NA,,,,,"square Backed, 4 Color.",https://www.graceahlbom.com/,,,music,Photography Artist Book,,,,,,
Ahlbom,Grace,CDMX,Dashwood,2020,5.25 x 8 Inches,"Softcover, staple bound, 18 Pages, 4 Color. Dashwood zines",1st Edition of 300 Copies,NA,,,,,"staple bound, 4 Color. Dashwood zines.",,https://dstrettell.com/,Zines,Dashwood zines,Photography Artist Book,,,,,$15.00,
Aida,Makoto,Monument For Nothing,Graphic Sha Pub Co; Bilingual edition,2007,9.25 x 1.25 x 11.75 inches,"Boards, 248 pages",,978-4766118049,,,,,,,,,,Pop Culture Art,,,,,$130.00,/assets/images/covers/9784766118049.jpg
Al Qasimi,Farah,Hello Future,Capricious,2021,7 x 8.85 inches,"Hardcover, 300 pages",First edition,,,,Signed,,"Dividing her time between Brooklyn and Dubai, Emirates artist, Farah Al Qasimi’s is a bright and rising multidisciplinary artist whose work examines postcolonial structures of power, gender and aesthetic in the Persian Gulf states and global cultural confluence and migration at-large. Hello Future is a culmination of Al Qasimi’s photographic, performance and film practice, unified within her keen focus on surface and texture, and the revealing visual influences of the splashy and florid. The monograph includes an essay by Negar Azimi and conversation between Al Qasimi and artist Meriem Bennani. Designed by Studio Lin. Farah is recipient of the third annual Capricious Photo Award",https://farahalqasimi.com/,https://farahalqasimi.com/,,,Photography Artist Book,,,,,,
Al Qasimi,Farah,"Arrival, The Third Line, Dubai",Self,2019,,,First edition,,,,Signed,,,https://farahalqasimi.com/,https://farahalqasimi.com/,,,Photography Artist Book,,,,,,
Albdorf,Thomas,General View,,2017,"21 x 28 cm,","Hardcover, saddle stitch, 128 pages",edition of 700,978-8894895070,,Designed by Thomas Albdorf and Milo Montelli Text by Darren Campion,,Thomas Albdorf and Milo Montelli,"""General View“ investigates conceptions of a new reality that continuously departs from the indexical referent towards an ever-changing rendering of a world that is yet still routed in the photographic image. Inspired by photographs of Yosemite National Park – one of the most intensely mediated nature sites on earth, the series toys with the question regarding the necessity of traveling to a place that has been photographed innumerable times, the need to record additional photographs. If countless images of a specific place are downloadable or can be screenshot, have I been there already? The series concentrates on the reenactment of glitches on Google Street View; in a gesture similar to the concepts of Warhol's Brillo Box or Fischli & Weiss‘ reversed Ready-mades, the malfunctions are appropriated and reenacted via pre- and post-photographic processes – to test their sculptural qualities, their ability to become an autonomous entity, potentially independent from their indexical referents. The unintended glitches (as well as the originally intended blurs to conceal faces or car plates) appear as a trace of the algorithmic merging and altering of photographic images without direct human control; an early potential glimpse into, a herald for a post-human understanding of the concept of the image or its redundancy and disappearance.",https://thomasalbdorf.com/generalview,https://www.skinnerboox.com,,,,,,,,$115.00,
Albers,Josef,Formulation: Articulation,T.G. Rosenthal,2006,13 x 1.25 x 9.75 inches,"Hardcover, 168 pages, 4.12 pounds",,978-0500238288,,,,,,,,,,Individual Artist Monographs,,,,,$200.00,
Aldridge,Miles,One black & white and nineteen colour photographs,Reflex Editions; Reflex Art Gallery,2014,,Large format paperback,lmtd edition of 750,978-9071848193,,,,,"One black & white and nineteen colour photographs by Miles Aldridge. First edition (2014). First impression. Large format paperback in new condition. Signed by The Cabinet by Miles Aldridge to back of cover. No markings. This is a brand new book. Please see pictures. PayPal accepted, any questions please get in touch.",,https://www.reflexamsterdam.com/,,"fashion photography, Miles Aldridge, Portrait Photography, Signed Photography",Individual Photographer Monographs,,,,,$70.00,
Aldridge,Miles,Please return Polaroid,Steidl,2016,29.5 x 29.5 cm,"Hardback, clothbound, 208 pages, 117 images",,978-3958297487,,,,,"Please Please return Polaroid is Miles Aldridge’s ongoing love letter to Polaroid, a process once integral to the craft of many photographers but now more or less extinct, apart from the rare and out-of-date material traded on eBay for exorbitant prices. The sequel to Aldridge’s Please Return Polaroid of 2016, this book presents new and vintage Polaroids from his more than 20-year archive in a seemingly random sequence shaped by a dreamlike logic and surprising juxtapositions. Please Please return Polaroid explores Aldridge’s dedication to analogue processes where cut-and-paste is still a manual process, made with scissors, gaffer tape, intuition and not a little patience. Aldridge continues to use Polaroids as part of his work-in-progress “sketches,” often scratching, tearing and taping them together, even drawing over them; each mark part of the creative act. Known for creating immaculate photos of a less than perfect world, Aldridge revels in these unpolished images, transforming some into extreme enlargements filling double pages with their re-worked and damaged surfaces. Long live Polaroid!",,https://steidl.de,,Photography,Individual Photographer Monographs,,,,,,/assets/images/covers/9783958297487.jpg
Alex,GD,515-05,Macaroni Book,2018,22 x 31 cm,"Handmade book binding, 52 pages, Inkjet printed by AJM (Brussels), Risograph printed by Chez Rosi (Brussels), Recycled paper and Fedrigoni paper, Screen-printed paper envelope by Atelier l'Appât (Brussels)",Edition of 100 copies,NA,,,,,"515.05 by Alex GD is an experimental copy machine project about surveillance, image control, identity and numeric filing. Who are the real criminals here the people in the pictures or the one that controls de CCTV?",https://www.alexgd.com,https://www.instagram.com/macaronibook/,,surveillance,Individual Photographer Monographs,,,,,$25.00,/assets/images/books/Alex_515_05.jpg
Alpern,Merry,Dirty Windows,"Art Pub Inc; First Edition, First Printing",1995,9.25 x 0.5 x 11.5 inches,"Hardcover, 112 pages",,978-1881616580,,,,,,,,Photography,"surveillance, sex, prostitution, nyc, sex-work downtown",PHOTOGRAPHY / Individual Photographers / Artists' Books Subjects & Themes / Erotica,PHO011010 / PHO023030,,"Hudson Street Library, NYC",,,/assets/images/covers/9781881616580.jpg
Alpern,Merry,Dirty Windows,"Art Pub Inc; First Edition, First Printing",1995,9.25 x 0.5 x 11.5 inches,"Hardcover, 112 pages",,978-1881616580,,,,,,,,Photography,"surveillance, sex, prostitution",Individual Photographer Monographs,,,"Hudson Street Library, NYC",,,/assets/images/covers/9781881616580.jpg
Amano,Yoshitaka,M by Ralf Christofor,Snoeck Verlagsgesellschaft,,,"Softcover with flaps, Text (German/English) by Ralf Christofori, 84 pages with 95 coloured illustrations",Out of print,978-3936859164,,"Christofor, Ralf (Author)",,,"Yoshitaka Amano was born in Shizuoka in 1952 and, on leaving the production company Tatsunoko at the tender age of 30, had already become a star in the firmament of Japan’s Manga-scene. His early animation series »Speed-Racer« and »G-Force«, as well as the later »Final Fantasy« proved to be immensely popular, becoming permanent fixtures in 70s TV entertainment schedules, particularly in the USA. The mass Japanese animation and comics market’s insatiable appetite has subsequently turned Amano into a fully-fledged superstar. With a few notable exceptions, contemporary art in Japan has continually been reproached for its style of imitative appropriation, until that is a new batch of artists burst onto the scene at the end of the 90s. On their own admission they owe a lot to Amano, be it Mariko Mori’s futuristic barbie-esque dreamscapes and performances or Takasha Murakami and Yoshitomo Nara for instance, in whose paintings the graphic borrowings from Manga proliferate in the funny faces or as unformed babies and little bears. Next to his work on further Mangas for a variety of new applications, be they films, as book illustrations, ceramic designs or as video games, Amano has recently revisited the 700 year old painting tradition of sumi-e. This technique using ink on fine rice paper is based upon expression, brush stroke and absolute precision, leaving no room for error. The Zen idea of penetrating to the essence of the matter is coupled here with an automatism, which construes the thing being painted as a kind of second nature, or as (American) critical opinion has described it: »the introverting of something extrovert in the form of an applied mutation …and, as a merging of different ideas of time, allowing past and future to coalesce.« Amano has Mangas coming out of his ears, Mangas he can use and fashion everywhichway in a variety of guises, situations and modes of expression. In between however, he has been fascinated by the challenge of transferring pictorial elements derived from the ancient sumi-e painting tradition onto highly polished placards. And here, aside from of any skill involved, his supra-dimensional eyes and chins, furrowed brows, silhouettes and details appear to be drawn from the same inexhaustible but anonymous reservoir, from which modern pictorial language also feeds; they have quite literally lost their Japanese innocence and have become universal ciphers in a universalistic culture. Were one to ask Amano where he is currently living, it is indeed fitting that he should reply: mostly Tokyo, New York and Paris.",,https://snoeck.de,,"anime, speed racer.",Individual Artist Monographs,,,,,$60.00,/assets/images/covers/9783936859164.jpg
Amer,Ghada,Ghada Amer: Painting in Revolt - by Susan Thompson,Skira Paris,2021,,"Hardcover, 208 pages",,9782370741493,,,,,"New York-based painter and embroiderer Ghada Amer (born 1963) was raised in Cairo, Egypt, and later educated in Nice and Paris, France. Her experiences with sexism in both locations served as the impetus for her to forge new ground in a range of mediums, from painting and sculpture to ceramics and earthworks. With a background in abstract painting, Amer eventually turned to embroidery as a strategy for infiltrating the male space of painting with a material traditionally associated with women. Her work is frequently based on the images of female figures found in magazines, through which she explores the constructions of gender, sexuality and eroticism. Her embroidery is intentionally loose, with threads dangling from the canvas, provoking a pictorial effect not unlike Pollock's splattered paint. More recent works introduce a verbal element, with quotations and aphorisms. This volume reproduces these pieces along with a selection of works from across her career.",,,,Art,,,,,,,
Anderson,Christopher,Christopher Anderson -: SON,Kehrer Verlang,2013,8 x 0.75 x 9.75 inches,96 pages,illustrated,978-3868283907,n/a,n/a,"Signed, Christopher Anderson's distinctions include the Robert Capa Gold Medal, two World Press Photo Awards, and a Pulitzer Prize nomination.",,"With this book, Magnum photographer Christopher Anderson, renowned for his documentary work from conflict zones all over the world, presents a very personal body of work: ""These photographs are an organic response to an experience that is at the same time the most unique and the most universal of experiences: the birth of a child. . . . Through my son, my role as the son took on new meaning and my senses were hypertuned to the evidence of my own life passing.""",https://christopherandersonphoto.com/,,,family,Individual Photographer Monographs,,,,,$36.00,
Anderson,Christopher,Christopher Anderson: Stump,Rm,2014,,96 pages,illustrated,978-8415118565,John Heilemann,,Signed,,,https://christopherandersonphoto.com/,,,politics,Individual Photographer Monographs,,,,,$28.00,
