id,row_number,title,author,isbn,issues
96,96,Candlestick Point,"Baltz, Lewis",,missing_cover_image
98,98,Talk Story,"Barash, Cole",,missing_cover_image
99,99,Blues,"Barber, Tim",,missing_cover_image;incomplete_dimensions
102,102,ADAC,"Barney, Matthew",,missing_cover_image
104,104,Jean-Michael Basquiat,"Basquiat, Jean-Michael",,missing_cover_image
105,105,Basquiat,"Basquiat, Jean-Michael",,missing_cover_image
109,109,Dashwood Book Series (LTD EDITION - VOL 1),"Beckman; Sam Falls, Janette",,missing_cover_image
110,110,That's Punk,"Bellini, Mario",,missing_cover_image
116,116,Japanese Whisper,"Bertrand, Zaza",9789490800550,missing_cover_image;incomplete_dimensions
119,119,Czech Photography VIII: Europeans,"Birgus, Vladimir",9788086970899,missing_cover_image
122,122,Gouaches,"Blair, Dike",9781938560286,incomplete_dimensions
123,123,Inside The White Cub,"Blalock, Lucas",9780990644811,incomplete_dimensions
124,124,La playa de los juguetes perdios 2021,"Blásquez, Alfredo",,missing_cover_image;incomplete_dimensions
131,131,a short story,"Boivin, Thomas",,incomplete_dimensions
133,133,20.000 Leghe Sotto I Mari,"Bonnin, Sebastien",,incomplete_dimensions
134,134,Pope.L,"Boone, Will",,missing_cover_image
135,135,CAR,"Boone, Will",,missing_cover_image;incomplete_dimensions
136,136,Prison Rodeo,"Boone, Will",9781938560873,missing_cover_image
137,137,Elvis Presley driving cover,"Boone, Will",,missing_cover_image
138,138,Symbols Zine,"Boone, Will",,missing_cover_image
139,139,Paintings,"Borremans, Michaël",,missing_cover_image
140,140,The Badgers Song,"Borremans, Michaël",,missing_cover_image
142,142,Wax House Of Wax,"Borruso, Matt",,missing_cover_image
143,143,Untitled Lover Pictures,"Borruso, Caiti",,missing_cover_image
144,144,Her Perfume Tears,"Bougatsos, Lizzi",,missing_cover_image
147,147,An Unfolding Portrait,"Bourgeouis, Louise",,missing_cover_image
148,148,The Spider and the Tapestries,"Bourgeouis, Louise",,missing_cover_image
149,149,Disassembly,Bownik,,missing_cover_image
150,150,The SS Potlicker And Friends,"Bradley, Joe",,missing_cover_image
151,151,Dark Archives 1-41,"Bradley, ANDRE",,missing_cover_image
152,152,Walk This Way,"Bramly, Sophie",,missing_cover_image
153,153,"Brancusi, film et photographie, images sans fin",Brancusi,,missing_cover_image
154,154,Amusement Park,"Brandon, David",,missing_cover_image
155,155,[MISSING],"Brant, Bill",,missing_title;missing_cover_image
156,156,Bill Brandt: Shadow & Light,"Brant, Bill",,missing_cover_image
157,157,Paris Nocturne,Brassai,,missing_cover_image
158,158,an Archeology of Fear and Desire,"Brenner, Fredirc",,missing_cover_image
159,159,Series 1:1,"Briner, Hauser",9780984978182,missing_cover_image
160,160,Dear Martin,"Brinkerhoff, Jason",,missing_cover_image
161,161,Bowery,"Broadbent, Robin",,missing_cover_image
162,162,The Photographic Work of Robin Broadbent by Robin Broadbent,"Broadbent, Robin",9788862085304,incomplete_dimensions
163,163,The Photographic Work of Robin Broadbent,"Broadbent, Robin",,missing_cover_image
164,164,Typology 1979,"Brohm, Joachim",9781907946646,missing_cover_image
166,166,Holy Bible,"Broomberg, Adam",9781907946417,missing_cover_image
167,167,Scarti,"Broomberg, Adam",9781907112461,missing_cover_image
168,168,People in Trouble Laughing Pushed to the Ground Songbook,"Broomberg; Oliver Chanarin, Adam",9781907946042,missing_cover_image
169,169,Plants,"Brown, Polly",,missing_cover_image
172,172,Cecily Brown & Jim Lewis: The English Garden,"Brown, Cecily",9781942607038,incomplete_dimensions
173,173,The English Garden,"Brown, Cecily",,missing_cover_image
174,174,Rodeo,Bruce of Los Angeles,,missing_cover_image
175,175,Rodeo,"Bruce of Los Angeles, Daniel",,missing_cover_image
176,176,[MISSING],"Burchfield, Charles",,missing_title;missing_cover_image
177,177,[MISSING],"Burckhardt, Rudy",,missing_title;missing_cover_image
178,178,An Exhibition Catalog,"Burckhardt, Rudy",,missing_cover_image
179,179,Cabin Fevr,"Burnett, Katie",9789493146648,incomplete_dimensions
180,180,Cathy John,"Bush, Carder",,missing_cover_image
181,181,Metropole,"Bush, Lewis",,missing_cover_image
184,183,Routes de la passion,"Caballero, Antonio",,missing_cover_image
186,185,The Readers Voice,"Cairns, Mitch",,missing_cover_image;incomplete_dimensions
187,186,LDN E1,"Cairns, Antony",,missing_cover_image
188,187,Calder by Matter,Calder,,missing_cover_image
